Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScreenCrawlHappyPath,Chrome 73.0.3683.86,"Just the avalible screens, no buttons or functionality, just verifying that the screen is there.",2019-04-08 11:21:46,2019-04-08 11:25:47,4m - 1.036s,FAILED
,,,,,,
Test Cases/ScreenCrawl/ScreenCrawlAssets,Chrome 73.0.3683.86,"~20 seconds Test user given correct rights, test runs correctly. 
",2019-04-08 11:21:46,2019-04-08 11:22:12,26.471s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-08 11:21:46,2019-04-08 11:21:53,6.698s,PASSED
deleteAllCookies(),Chrome 73.0.3683.86,,2019-04-08 11:21:53,2019-04-08 11:21:53,0.029s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-08 11:21:53,2019-04-08 11:21:54,1.146s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Chrome 73.0.3683.86,,2019-04-08 11:21:54,2019-04-08 11:21:55,1.256s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:21:55,2019-04-08 11:21:55,0.063s,PASSED
"sendKeys(findTestObject(""Login Page/Username Field""), ScreenCrawlUser)",Chrome 73.0.3683.86,,2019-04-08 11:21:55,2019-04-08 11:21:56,0.280s,PASSED
"sendKeys(findTestObject(""Login Page/Password Field""), ScreenCrawlPass)",Chrome 73.0.3683.86,,2019-04-08 11:21:56,2019-04-08 11:21:56,0.090s,PASSED
"click(findTestObject(""Login Page/Login Button""))",Chrome 73.0.3683.86,,2019-04-08 11:21:56,2019-04-08 11:22:01,4.999s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:01,2019-04-08 11:22:01,0.021s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page/Assets""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-08 11:22:01,2019-04-08 11:22:01,0.065s,PASSED
"click(findTestObject(""GBMS Home Page/button_Report Repository""))",Chrome 73.0.3683.86,,2019-04-08 11:22:01,2019-04-08 11:22:03,2.486s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:03,2019-04-08 11:22:03,0.014s,PASSED
"verifyElementVisible(findTestObject(""Report Repository/Search Results""))",Chrome 73.0.3683.86,,2019-04-08 11:22:03,2019-04-08 11:22:03,0.037s,PASSED
"verifyElementVisible(findTestObject(""Report Repository/Report Repository Search Header""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-08 11:22:03,2019-04-08 11:22:04,0.043s,PASSED
back(),Chrome 73.0.3683.86,,2019-04-08 11:22:04,2019-04-08 11:22:04,0.290s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:04,2019-04-08 11:22:04,0.014s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page/Assets""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-08 11:22:04,2019-04-08 11:22:04,0.035s,PASSED
"click(findTestObject(""GBMS Home Page/button_Shop Forms""))",Chrome 73.0.3683.86,,2019-04-08 11:22:04,2019-04-08 11:22:07,3.453s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:07,2019-04-08 11:22:07,0.017s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Shop Reference Documents/Shop Reference Documents""))",Chrome 73.0.3683.86,,2019-04-08 11:22:07,2019-04-08 11:22:07,0.053s,PASSED
"verifyElementVisible(findTestObject(""Shop Reference Documents/button_Clear Filter""))",Chrome 73.0.3683.86,,2019-04-08 11:22:07,2019-04-08 11:22:08,0.584s,PASSED
back(),Chrome 73.0.3683.86,,2019-04-08 11:22:08,2019-04-08 11:22:08,0.295s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:08,2019-04-08 11:22:08,0.014s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page/Assets""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-08 11:22:08,2019-04-08 11:22:08,0.035s,PASSED
"click(findTestObject(""GBMS Home Page/button_Customer Portal""))",Chrome 73.0.3683.86,,2019-04-08 11:22:08,2019-04-08 11:22:09,0.585s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:09,2019-04-08 11:22:09,0.011s,PASSED
back(),Chrome 73.0.3683.86,,2019-04-08 11:22:09,2019-04-08 11:22:09,0.143s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.86,,2019-04-08 11:22:09,2019-04-08 11:22:09,0.279s,PASSED
