Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Glen and Smith,Firefox 65.0,,2019-03-11 15:17:26,2019-03-11 15:17:43,16.948s,PASSED
,,,,,,
Test Cases/Glen01Login,Firefox 65.0,,2019-03-11 15:17:26,2019-03-11 15:17:37,10.570s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-03-11 15:17:27,2019-03-11 15:17:32,5.457s,PASSED
deleteAllCookies(),Firefox 65.0,,2019-03-11 15:17:32,2019-03-11 15:17:32,0.022s,PASSED
maximizeWindow(),Firefox 65.0,,2019-03-11 15:17:32,2019-03-11 15:17:33,0.284s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Firefox 65.0,,2019-03-11 15:17:33,2019-03-11 15:17:34,1.356s,PASSED
waitForPageLoad(0),Firefox 65.0,,2019-03-11 15:17:34,2019-03-11 15:17:34,0.063s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Username Field""), ""glentest1gms"")",Firefox 65.0,,2019-03-11 15:17:34,2019-03-11 15:17:34,0.096s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Password Field""), ""12345678"")",Firefox 65.0,,2019-03-11 15:17:34,2019-03-11 15:17:34,0.047s,PASSED
"click(findTestObject(""Enspire/Login Page/Login Button""))",Firefox 65.0,,2019-03-11 15:17:34,2019-03-11 15:17:35,1.311s,PASSED
waitForPageLoad(0),Firefox 65.0,,2019-03-11 15:17:35,2019-03-11 15:17:36,0.009s,PASSED
"takeScreenshot(""C:\Users\patrick.murphy\Katalon Studio\KatalonDemo\Screenshots\GlenSuccess1.jpg"")",Firefox 65.0,,2019-03-11 15:17:36,2019-03-11 15:17:36,0.727s,PASSED
closeBrowser(),Firefox 65.0,,2019-03-11 15:17:36,2019-03-11 15:17:37,0.715s,PASSED
,,,,,,
Test Cases/Smith Failed Login,Firefox 65.0,,2019-03-11 15:17:37,2019-03-11 15:17:43,5.976s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-03-11 15:17:37,2019-03-11 15:17:40,2.822s,PASSED
deleteAllCookies(),Firefox 65.0,,2019-03-11 15:17:40,2019-03-11 15:17:40,0.010s,PASSED
maximizeWindow(),Firefox 65.0,,2019-03-11 15:17:40,2019-03-11 15:17:40,0.287s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Firefox 65.0,,2019-03-11 15:17:40,2019-03-11 15:17:41,1.124s,PASSED
waitForPageLoad(0),Firefox 65.0,,2019-03-11 15:17:41,2019-03-11 15:17:41,0.019s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Username Field""), ""Smith"")",Firefox 65.0,,2019-03-11 15:17:41,2019-03-11 15:17:41,0.054s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Password Field""), ""Smith"")",Firefox 65.0,,2019-03-11 15:17:41,2019-03-11 15:17:41,0.040s,PASSED
"click(findTestObject(""Enspire/Login Page/Login Button""))",Firefox 65.0,,2019-03-11 15:17:41,2019-03-11 15:17:42,0.371s,PASSED
waitForPageLoad(0),Firefox 65.0,,2019-03-11 15:17:42,2019-03-11 15:17:42,0.018s,PASSED
"verifyElementPresent(findTestObject(""Enspire/Login Page/Enspire Image""), 0)",Firefox 65.0,,2019-03-11 15:17:42,2019-03-11 15:17:42,0.028s,PASSED
"takeScreenshot(""C:\Users\patrick.murphy\Katalon Studio\KatalonDemo\Screenshots\Smith Fail1.jpg"")",Firefox 65.0,,2019-03-11 15:17:42,2019-03-11 15:17:42,0.228s,PASSED
closeBrowser(),Firefox 65.0,,2019-03-11 15:17:42,2019-03-11 15:17:43,0.781s,PASSED
